timestamp,name,attention_state,gaze_status,posture_status,emotion,behavior,phone_detected
2025-04-12 07:23:37,Unknown,UNKNOWN,Gaze undetected,Unknown,Unknown,Unknown,False
2025-04-12 07:23:43,Unknown,DISTRACTED: Gaze undetected,Gaze undetected,Good Posture,neutral,Attentive,False
2025-04-12 07:23:49,3_adi,DISTRACTED: Looking left,Looking left,Good Posture,neutral,Attentive,False
2025-04-12 07:23:55,3_adi,DISTRACTED: Blinking,Blinking,Good Posture,happy,Attentive,False
2025-04-12 07:24:01,pranav,DISTRACTED: Poor posture,Gaze undetected,Bad Posture,neutral,Attentive,False
2025-04-12 07:24:07,pranav,DISTRACTED: Gaze undetected,Gaze undetected,Good Posture,neutral,Attentive,False
2025-04-12 07:24:14,Unknown,DISTRACTED: Gaze undetected,Gaze undetected,Unknown,neutral,Attentive,False
2025-04-12 07:24:21,Unknown,DISTRACTED: Gaze undetected,Gaze undetected,Unknown,happy,Attentive,False
2025-04-12 07:24:28,Unknown,DISTRACTED: Gaze undetected,Gaze undetected,Unknown,sad,Attentive,False
2025-04-12 07:24:34,Unknown,DISTRACTED: Gaze undetected,Gaze undetected,Unknown,fear,Attentive,False
2025-04-12 07:24:41,Unknown,DISTRACTED: Gaze undetected,Gaze undetected,Good Posture,fear,Attentive,False
2025-04-12 07:24:48,Unknown,DISTRACTED: Gaze undetected,Gaze undetected,Good Posture,happy,Attentive,False
2025-04-12 07:24:53,firstpic,DISTRACTED: Gaze undetected,Gaze undetected,Good Posture,neutral,Attentive,False
2025-04-12 07:24:58,Unknown,UNKNOWN,Gaze undetected,Unknown,Unknown,Unknown,False
2025-04-12 07:25:05,Unknown,UNKNOWN,Gaze undetected,Bad Posture,Unknown,Unknown,False
2025-04-12 07:25:12,Unknown,UNKNOWN,Gaze undetected,Bad Posture,Unknown,Unknown,False
